,Title,published_date,views,likes,comments,month
0,Moving On,2024-04-22,8253,402,88,Apr
1,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,2647,71,22,Nov
2,A Data Dream Come True,2023-11-17,2279,94,23,Nov
3,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,6193,410,77,Sep
4,How to Survive a Down Data Job Market,2023-09-05,17338,571,63,Sep
5,The Harsh Reality of the Data Job Market,2023-08-24,107955,2611,290,Aug
6,7 Industries AI will Aggressively Disrupt,2023-08-14,6403,246,41,Aug
7,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4359,133,48,Aug
8,7 Enticing Jobs AI Will Create,2023-07-24,4802,199,37,Jul
9,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4162,144,31,Jul
10,Exciting Announcement!,2023-06-23,6684,298,50,Jun
11,AI: A Customer Service Revolution?,2023-05-26,3972,123,35,May
12,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,47584,1517,59,May
13,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,35190,1476,77,May
14,This AI question will determine our future,2023-04-06,4314,261,37,Apr
15,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,71434,834,78,Apr
16,Your current portfolio is actually hurting you #shorts,2023-03-30,8721,496,7,Mar
17,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,7726,412,2,Mar
18,you're job searching wrong. #shorts,2023-03-23,4495,267,3,Mar
19,The Economics of Data Roles #shorts,2023-03-21,10186,619,12,Mar
20,Why your phone knows everything you say #shorts,2023-03-18,3553,163,8,Mar
21,Read these for a successful career. #shorts,2023-03-16,3221,251,2,Mar
22,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2831,54,5,Mar
23,How I Realized I Was a Bad Manager #shorts,2023-03-07,2961,139,1,Mar
24,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,20767,768,51,Mar
25,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,8537,277,13,Mar
26,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2795,170,2,Feb
27,Learning On the companies dime #shorts,2023-02-24,3252,178,1,Feb
28,The Best Way to Transition to Data Science? #shorts,2023-02-21,4509,280,6,Feb
29,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,7322,407,6,Feb
30,Don't Go into Data for the Money #shorts,2023-02-15,3820,221,12,Feb
31,First Data Science Project? Watch This.,2023-02-13,7837,377,24,Feb
32,How to Approach Applying for a Data Role #shorts,2023-02-08,3703,245,7,Feb
33,The Hard Reality of Data Science Work #shorts,2023-02-06,16949,898,17,Feb
34,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4915,197,6,Feb
35,These 3 Things Make Data Science Special #shorts,2023-02-01,4401,349,7,Feb
36,Will Data Science Be Automated? #shorts,2023-01-27,10409,435,9,Jan
37,Is Data Science A Good Fit For You? #shorts,2023-01-25,5216,298,11,Jan
38,5 Books I Wish I Read Earlier In My Career,2023-01-23,9672,523,50,Jan
39,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,9960,775,15,Jan
40,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6377,477,10,Jan
41,How long does it take to become a Data Scientist? #shorts,2023-01-12,7413,511,6,Jan
42,Where & how to start your Data Science Journey #shorts,2023-01-09,7123,427,2,Jan
43,How I Would NOT Learn Data Science in 2023.,2023-01-03,128742,4200,256,Jan
44,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4965,207,28,Dec
45,The Essential Programming Concepts For Learning Data Science,2022-11-14,20826,858,46,Nov
46,The Data Content House: What You Missed,2022-10-07,10588,348,49,Oct
47,Is Data Science A Good Career?,2022-09-29,63758,1975,140,Sep
48,IRON ANALYST (Teaser) #shorts,2022-09-27,5673,364,24,Sep
49,When a New Data Scientist Joins The Team,2022-08-29,16789,755,134,Aug
50,State of Data Science - Web Data,2022-08-05,10489,351,34,Aug
51,Data Science Town Hall - State of Data Science,2022-08-04,10015,367,37,Aug
52,The Programming Roadmap For Data Science,2022-07-29,28264,1320,63,Jul
53,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,94786,3402,94,Jun
54,Can AI Fix my Baseball Swing?,2022-06-10,7884,344,68,Jun
55,Every Data Scientist... (funny!),2022-05-24,17601,856,146,May
56,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,16015,425,64,May
57,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,70293,1726,85,Apr
58,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,22141,909,110,Mar
59,Data Scientists VS NFT Scam,2022-03-03,4904,189,41,Mar
60,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11391,514,144,Feb
61,What Professional Data Scientists ACTUALLY Do,2022-02-14,100626,3454,187,Feb
62,Can You Analyze My Data Better Than I Can?,2022-01-31,7537,324,60,Jan
63,Giving Back to My Most Engaged Subscribers!,2022-01-28,2339,118,87,Jan
64,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,54652,1293,146,Jan
65,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8986,427,82,Jan
66,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8640,255,33,Jan
67,The Only Data Science Explanation You Need,2022-01-10,67607,2298,172,Jan
68,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14578,646,144,Jan
69,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,345037,15005,530,Dec
70,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,15989,510,67,Dec
71,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,8109,572,25,Dec
72,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,25104,1185,143,Dec
73,Why Is Data Engineering So HOT Right Now?,2021-11-26,29737,1100,137,Nov
74,Is Data Science Dying?,2021-11-19,125875,3906,360,Nov
75,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8555,398,113,Nov
76,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3647,202,44,Nov
77,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,14211,305,39,Oct
78,ML Ops: What is it REALLY?,2021-10-22,7259,285,66,Oct
79,Business Skills for Data Science: What are they REALLY?,2021-10-18,6944,303,50,Oct
80,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2220,122,5,Oct
81,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,6027,283,64,Oct
82,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,13078,534,108,Aug
83,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10387,437,32,Aug
84,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,42310,1628,32,Aug
85,How I Learned to Learn.,2021-07-31,51021,2359,209,Jul
86,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,11246,610,51,Jul
87,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2467,92,30,Jul
88,Why are APIs Important for Data Science?,2021-07-09,10692,471,95,Jul
89,Is Your Phone REALLY Listening to You?,2021-07-03,5260,279,116,Jul
90,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,17196,645,123,Jun
91,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4122,225,41,Jun
92,#66DaysOfData - What is it? #shorts,2021-06-11,9526,400,54,Jun
93,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16991,1032,89,Jun
94,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7551,391,195,May
95,How Data Science Projects Pay Off,2021-05-22,11054,609,146,May
96,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10757,490,134,May
97,What is a lambda function (python)? #shorts,2021-05-13,16182,981,49,May
